SpectraSmart Spectrum 2.12.1.1	
--------- Device Information -----------	
Spectrum Name : 	??_0
Saving Time : 	2026/7/22 16:43
Spectro-Module Model Name :	EE2063-VNIR
Spectro-Module Serial Number :	OS361AC55037329
Wavelength Start :	350
Wavelength End :	1020
Wavelength Unit :	Wavelength(nm)
Spectrum Unit :	Intensity
MB Temperature(簞C) :	35.75 簞C
TEC Temperature(簞C) :	0.00 簞C
-----------Spectrum Setting ------------	
Integration Time :	2000ms
Average :	1
Boxcar :	0
Background removal :	 enabled
linearity correction :	 enabled
SC :	 disabled
Intensity correction :	 disabled
DWT denoise :	 enabled
savitzky-golay :	 disabled
FFT :	 disabled
Running average :	 disabled
Kalman :	 disabled
High pass :	 disabled
Baseline correction :	 disabled
---------------BEGIN--------------------	
465.41	1951.606
465.78	1939.642
466.15	1924.892
466.51	1919.638
466.88	1926.835
467.25	1943.2
467.61	1961.703
467.98	1970.724
468.35	1967.693
468.71	1956.85
469.08	1944.64
469.45	1941.118
469.82	1948.897
470.18	1964.324
470.55	1982.942
470.92	1997.891
471.28	2006.858
471.65	2011.989
472.02	2014.988
472.38	2018.459
472.75	2023.424
473.12	2028.87
473.48	2034.565
473.85	2040.396
474.22	2046.463
474.58	2053.417
474.95	2061.474
475.32	2070.676
475.68	2080.953
476.05	2091.927
476.42	2103.783
476.78	2116.856
477.15	2131.022
477.51	2146.276
477.88	2161.2
478.25	2173.59
478.61	2183.28
478.98	2190.989
479.35	2199.467
479.71	2213.1
480.08	2232.722
480.44	2256.944
480.81	2282.473
481.18	2304.052
481.54	2320.198
481.91	2332.176
482.27	2342.722
482.64	2356.294
483.01	2374.108
483.37	2395.016
483.74	2416.396
484.1	2434.126
484.47	2447.499
484.84	2458.117
485.2	2469.594
485.57	2487.398
485.93	2512.793
486.3	2544.22
486.66	2577.728
487.03	2607.037
487.4	2630.576
487.76	2649.991
488.13	2669.253
488.49	2694.753
488.86	2727.79
489.22	2766.082
489.59	2805.02
489.95	2837.545
490.32	2861.826
490.68	2879.816
491.05	2896.007
491.42	2917.478
491.78	2946.153
492.15	2980.447
492.51	3015.908
492.88	3045.286
493.24	3067.512
493.61	3085.49
493.97	3105.204
494.34	3136.038
494.7	3179.598
495.07	3231.887
495.43	3287.053
495.8	3335.836
496.16	3375.57
496.53	3409.621
496.89	3439.963
497.26	3469.881
497.62	3501.34
497.99	3533.12
498.35	3568.45
498.72	3612.634
499.08	3665.925
499.45	3726.867
499.81	3789.056
500.17	3841.817
500.54	3882.858
500.9	3915.335
501.27	3945.469
501.63	3983.588
502	4032.569
502.36	4089.288
502.73	4149.929
503.09	4208.222
503.46	4262.298
503.82	4314.54
504.18	4366.323
504.55	4419.728
504.91	4475.172
505.28	4530.647
505.64	4586.389
506.01	4643.325
506.37	4701.004
506.73	4759.529
507.1	4815.636
507.46	4863.813
507.83	4904.103
508.19	4939.332
508.55	4975.584
508.92	5022.551
509.28	5082.399
509.65	5151.566
510.01	5226.099
510.37	5299.357
510.74	5368.584
511.1	5435.79
511.46	5499.295
511.83	5556.589
512.19	5608.288
512.56	5654.943
512.92	5702.487
513.28	5760.896
513.65	5831.882
514.01	5912.309
514.37	5995.353
514.74	6069.684
515.1	6132.244
515.46	6186.622
515.83	6237.171
516.19	6290.88
516.55	6350.649
516.92	6415.042
517.28	6483.259
517.64	6554.108
518.01	6626.889
518.37	6701.74
518.73	6779.407
519.1	6860.737
519.46	6944.93
519.82	7030.784
520.19	7114.267
520.55	7189.405
520.91	7255.566
521.28	7315.253
521.64	7373.766
522	7439.633
522.37	7515.296
522.73	7598.302
523.09	7685.892
523.45	7773.364
523.82	7858.567
524.18	7942.482
524.54	8024.453
524.91	8103.444
525.27	8179.562
525.63	8252.972
525.99	8324.95
526.36	8397.943
526.72	8472.99
527.08	8549.917
527.44	8629.022
527.81	8710.501
528.17	8793.925
528.53	8878.868
528.89	8964.211
529.26	9048.06
529.62	9129.918
529.98	9210.535
530.34	9289.894
530.7	9368.073
531.07	9445.813
531.43	9523.42
531.79	9603.141
532.15	9688.648
532.52	9780.002
532.88	9875.176
533.24	9971.287
533.6	10063.15
533.96	10148.32
534.33	10231.4
534.69	10313.15
535.05	10385.54
535.41	10448.22
535.77	10540.17
536.14	10600.81
536.5	10689.77
536.86	10788.96
537.22	10897.65
537.58	11010.9
537.94	11121.67
538.31	11227.84
538.67	11330.36
539.03	11429.75
539.39	11527.25
539.75	11623.62
540.11	11717.85
540.48	11811.86
540.84	11909.31
541.2	12010.44
541.56	12114
541.92	12216.64
542.28	12312.82
542.64	12401.14
543	12483.39
543.37	12562.11
543.73	12641.37
544.09	12723.14
544.45	12807.47
544.81	12894.41
545.17	12983.44
545.53	13075.2
545.89	13171.13
546.25	13272.34
546.62	13380.34
546.98	13494.33
547.34	13611.24
547.7	13729.7
548.06	13848.24
548.42	13964.65
548.78	14078.34
549.14	14183.66
549.5	14272.22
549.86	14344.08
550.22	14403.44
550.58	14460.78
550.94	14532.65
551.31	14623.68
551.67	14729.88
552.03	14844.54
552.39	14955.96
552.75	15059.98
553.11	15159.55
553.47	15256.52
553.83	15354.02
554.19	15453.09
554.55	15552.04
554.91	15650.02
555.27	15746.57
555.63	15841.82
555.99	15936.56
556.35	16032.42
556.71	16131.54
557.07	16234.16
557.43	16339.31
557.79	16444.67
558.15	16546.71
558.51	16644.16
558.87	16737.48
559.23	16828.32
559.59	16919.38
559.95	17011.79
560.31	17105.66
560.67	17199.14
561.03	17289.22
561.39	17375.78
561.75	17459.72
562.11	17546.21
562.47	17643.13
562.83	17751.56
563.19	17869.22
563.55	17987.65
563.91	18093.39
564.26	18183.66
564.62	18262.24
564.98	18339.02
565.34	18430.13
565.7	18539.04
566.06	18660.42
566.42	18784.26
566.78	18894.65
567.14	18987.52
567.5	19068
567.86	19144.02
568.22	19228.19
568.58	19323.98
568.93	19427.11
569.29	19532.42
569.65	19631.81
570.01	19723.27
570.37	19810.57
570.73	19896.91
571.09	19986.75
571.45	20081.76
571.81	20180.74
572.16	20284.86
572.52	20390.78
572.88	20488.56
573.24	20605.98
573.6	20748.89
573.96	20831.38
574.32	20832.25
574.67	21137.6
575.03	21083.69
575.39	21203.05
575.75	21299.11
576.11	21387.56
576.47	21467.94
576.83	21552.89
577.18	21649.53
577.54	21748.9
577.9	21844.83
578.26	21925.75
578.62	21990.37
578.97	22044.6
579.33	22098.03
579.69	22165.94
580.05	22252.51
580.41	22352.16
580.76	22461.21
581.12	22573.52
581.48	22684.92
581.84	22796.39
582.2	22902.02
582.55	22992.38
582.91	23067.11
583.27	23129.78
583.63	23189.76
583.98	23262.93
584.34	23353.48
584.7	23456.49
585.06	23567.56
585.41	23678.8
585.77	23786.28
586.13	23892.03
586.49	23991.53
586.84	24078.03
587.2	24150.6
587.56	24209.4
587.92	24263.54
588.27	24328.47
588.63	24407.71
588.99	24498.54
589.35	24589.4
589.7	24660.81
590.06	24709.86
590.42	24743.96
590.77	24778.77
591.13	24838.95
591.49	24929.67
591.84	25041.88
592.2	25161.04
592.56	25264.21
592.92	25344.23
593.27	25407.75
593.63	25462.29
593.99	25519.88
594.34	25585.44
594.7	25656.07
595.06	25729.54
595.41	25802.88
595.77	25875.06
596.12	25946.91
596.48	26022.26
596.84	26106.31
597.19	26198.66
597.55	26296.82
597.91	26390.71
598.26	26464.88
598.62	26517.1
598.98	26552.9
599.33	26585.72
599.69	26637.21
600.04	26712.76
600.4	26806.06
600.76	26906.74
601.11	26996.44
601.47	27067.12
601.82	27130.99
602.18	27195.93
602.54	27249.24
602.89	27288.62
603.25	27413.43
603.6	27443.79
603.96	27513.87
604.32	27570.77
604.67	27621.41
605.03	27672.17
605.38	27736.59
605.74	27817.19
606.09	27906.19
606.45	27993.74
606.8	28063.59
607.16	28112.9
607.52	28150.29
607.87	28181.11
608.23	28214.66
608.58	28257.27
608.94	28301.53
